afile	Aafylv
korbn	krbN
korbones	krbNvS
rebe	rby
rabeim	rbyyM
rebn	rbyN
rebns	rbyns
rakhmones	rHmnvS
reyekh	ryH
reykhes	ryHvS
rishes	ry$evS
shayle	$Alh
shayles	$AlvS
shabes	$bS
shabesym	$bSyM
shure	$vrh
shures	$vrvS
shetekh	$tH
shetekhes	$tHyM
shidekh	$ydvX
shidekhym	$ydvXyM
shaykes	$YaxvS
shaykesn	$YaxvSN
simkhe	CymHh
simkhes	CymHvS
toyre	Tvrh
takhles	TxlyS
takhlesim	TxlySyM
talmud	Tlmvd
talmed	Tlmyd
talmidim	TlmydyM
talmide	Tlmydh
talmides	TlmydvS
tshuve	T$v~h
tshuves	T$v~vS
tfile	T~ylh
tfiles	T~ylvS
tfise	T~ysh
tfises	T~ysvS
tkufe	Tkv~h
tkufes	Tkv~vS
dovid	dvd
dovidn	dvdN
noyekh	nH
noyekhn	nHN
rokhl	rHl
rokhln	rHleN
rokhel	rHl
rokheln	rHleN
avrom	AbrhM
avromen	AbrhMeN
yankev	yekv
yankevn	yekvN
elkone	Alknh
elkonen	AlknhN
levi	lW
levin	lWN
yitskhok	yqHk
yitskhokn	yqHkN
ester	AsTr
estern	AsTrN
chanah	Hnh
chanahn	HnhN
emeser	AmSer
emese	AmSe
bedales	bdlvS
khorever	Hrv~er
khorevn	Hrv~N
khorevs	Hrv~s
khoreve	Hrv~e
kosher	K$r
kosherer	K$rer
koshern	K$rN
koshers	K$rs
koshere	K$re
stam	sTM
beshas	b$eS
makhmes	mHmS
mikoyekh	mKvH
khavern	H~rN
khaverst	H~rst
khaverstu	H~rstv
khavert	H~rt
gekhavert	geH~rt
kholemen	HlvmeN
kholemst	Hlvmst
kholemstu	Hlvmstv
kholemt	Hlvmt
gekholemt	geHlvmt
ki	Ky
betseylem	bqlM
elokim	AlkyM
navrey	nvrA
haodem	hAdM
